anon_id,gender,birth_year,native_language,language_used_at_home,language_used_at_home_now,non_native_language_1,yrs_of_study_lang1,study_in_classroom_lang1,ways_of_study_lang1,non_native_language_2,yrs_of_study_lang2,study_in_classroom_lang2,ways_of_study_lang2,non_native_language_3,yrs_of_study_lang3,study_in_classroom_lang3,ways_of_study_lang3,createddate,modifieddate,course_history
fo8,Female,1972,Chinese,Chinese,Chinese,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,Chinese,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,2007-02-20 10:05:36,2007-03-20 10:11:48,158;169;180;191;202
bc4,Male,1984,Arabic,Arabic,Arabic,English,1-2 years,1,Studied grammar;Studied vocabulary,,,0,other,,,0,other,2007-02-20 10:05:36,2007-04-10 14:05:29,158;169;180;191;202
gv1,Male,1981,Korean,Korean;English,Korean,English,more than 5 years,1,Studied grammar;Studied vocabulary,,,0,other,,,0,other,2007-02-20 10:05:38,2007-06-08 14:03:52,158;169;180;191;202;217;228;239;250;261
ez7,Male,1987,English,Arabic,Arabic;English,Arabic,more than 5 years,0,I lived in a country where they spoke Arabic,English,less than 1 year,1,Studied grammar;Studied vocabulary;Studied pronunciation;Wrote paragrphs/essays,,,0,other,2007-02-20 10:05:39,2007-03-20 10:09:23,156;167;180;191;200;212;223;234;245;256
cn7,Male,1978,Arabic,Arabic,Arabic,English,more than 5 years,1,Had a native-speaker teacher;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Wrote paragrphs/essays,,,0,other,,,0,other,2007-02-20 10:05:50,2007-07-09 13:35:23,156;169;180;200;213;227;238;249;257
bx5,Male,1983,Arabic,Arabic,Arabic,Arabic,more than 5 years,0,I lived in a country where they spoke Arabic,English,less than 1 year,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays,,,0,other,2007-02-20 10:05:56,2007-06-12 14:56:07,158;169;180;191;202;212;226;237;248;259
as4,Male,1981,Korean,Korean,Korean,English,3-5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs),,,0,other,,,0,other,2007-02-20 10:05:59,2007-06-05 14:06:31,158;169;180;191;202;215;226;237;248;259
co4,Male,1978,Arabic,Arabic;English,Arabic;English,English,more than 5 years,0,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English,French,less than 1 year,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,2007-02-20 10:08:52,2008-01-29 15:02:53,158;169;180;202;217;228;239;250;261;348;349;350;351;352
bm6,Male,1988,Arabic,Arabic,Arabic;English,English,3-5 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-02-20 11:05:06,2008-01-29 14:11:46,156;167;179;200;213;224;238;249;257;276;287;298;320;353;354;355;356;357
en5,Female,1970,Chinese,Chinese,Chinese,,,,,,,,,,,,,2007-02-20 11:05:35,2007-02-20 11:07:41,179;190
fh9,Female,1971,Japanese,Japanese;English,Japanese;English,English,more than 5 years,1,Studied grammar;Studied vocabulary,,,0,other,,,0,other,2007-02-20 11:05:37,2008-01-29 15:02:49,179;204;215;226;237;252;263;350;353
an4,Male,1979,Korean,Korean,Korean;English,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,Japanese,3-5 years,0,other,German,1-2 years,0,other,2007-02-20 11:06:02,2007-03-20 11:11:02,157;168;179;190;204
co0,Male,1977,Arabic,Arabic;English,English;Arabic,English,1-2 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2007-02-20 11:06:21,2007-09-17 09:13:51,157;168;179;190;201;215;226;237;248;259;277;288;299;321
eq8,Male,1982,Korean,Korean;English,English,English,3-5 years,1,Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2007-02-20 11:06:30,2007-06-05 14:06:03,157;168;179;190;201;215;226;237;248;259;287;320
cw0,Female,1976,Korean,Korean,Korean;English,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Wrote paragrphs/essays,,,0,other,,,0,other,2007-02-20 11:06:32,2007-09-17 09:12:28,157;168;179;190;201;215;226;237;248;259;288;299;321
fd2,Male,1981,Arabic,Arabic,Arabic;English,Russian,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Russian;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,English,more than 5 years,1,Studied grammar;Studied vocabulary,,,0,other,2007-03-15 11:37:06,2007-03-15 11:41:06,161;183;205
dr1,Female,1972,Spanish,Spanish;Portuguese,English;Spanish;Portuguese,Portuguese,more than 5 years,0,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke Portuguese,English,3-5 years,1,Had a native-speaker teacher;Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,2007-03-15 11:51:29,2007-03-15 11:56:33,161;172;183;194;205
gt3,Male,1984,Arabic,Arabic,Arabic;English,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes,,,0,other,,,0,other,2007-04-05 10:08:00,2007-04-12 10:07:48,156;167;178;189;200
da6,Female,1976,Spanish,Spanish,Spanish,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-04-05 15:05:58,2007-04-12 10:06:19,156;169;178;189;202
aw2,Male,1983,Thai,Thai;English;Chinese,Thai;English;Chinese,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays,Chinese,1-2 years,0,I learned from my friend who is a native speaker,,,0,other,2007-04-09 10:05:47,2007-04-09 10:09:43,165;176;187;198;209
cc7,Female,1978,Thai,Thai;English,Thai;English,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-04-10 10:56:33,2007-04-12 11:03:02,205
cc4,Male,1984,Korean,Korean;English,English;Korean,English,3-5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs),German,less than 1 year,1,Studied vocabulary,,,0,other,2007-04-12 10:03:51,2007-09-18 10:04:54,157;168;178;189;201;216;227;235;246;260;276;287;294;320
fu3,Female,1983,Chinese,Chinese,Chinese,English,more than 5 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-04-12 10:03:53,2007-06-07 14:07:39,178;189;212;223;234;245;256
dc1,Male,1988,Arabic,Arabic,Arabic,English,more than 5 years,1,Practiced speaking in class;Listened to audio materials (tapes/CDs),,,0,other,,,0,other,2007-04-12 10:03:54,2007-10-11 10:49:56,156;167;178;189;200;213;224;234;245;257;269;283;294;316
cq6,Male,1953,Spanish,Spanish,Spanish,French,3-5 years,0,I lived in a country where they spoke French,English,less than 1 year,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,2007-04-12 10:03:57,2007-04-12 10:10:19,157;178;189;201
bl2,Female,1985,Thai,Thai;English,Thai;English,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,,,0,other,,,0,other,2007-06-04 13:07:54,2007-09-17 10:02:42,217;228;242;253;261;276;287;298;320
bu4,Female,1976,Korean,Korean,Korean,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,French,3-5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes,,,0,other,2007-06-04 13:07:59,2007-06-25 13:38:12,217;228;242;253;261;287
ac3,Female,1983,Chinese,Chinese,Chinese,English,1-2 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-04 13:08:03,2007-07-09 13:05:29,217;228;242;253;261
ec9,Male,1972,Korean,Korean;English,Korean;English,English,more than 5 years,1,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,German,1-2 years,1,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,2007-06-04 14:02:56,2007-06-25 14:48:10,219;230;241;252;263
aa8,Female,1976,Korean,Korean,Korean,English,more than 5 years,0,Studied by myself,French,1-2 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation,,,0,other,2007-06-04 14:03:52,2007-09-17 09:12:55,217;230;241;252;261;277;288;299;321
gx2,Female,1975,Japanese,Japanese,Japanese,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-05 13:06:29,2007-06-26 13:37:30,216;227;238;249;260
fu6,Male,1979,Korean,Korean;German,Korean,German,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in German;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,English,more than 5 years,1,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,2007-06-05 13:06:31,2007-09-17 10:03:33,213;227;238;249;257;272;287;298;316
bl7,Female,1979,Chinese,Chinese;Taiwanese;English,Chinese;English;Taiwanese,English,less than 1 year,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-05 13:06:32,2007-09-17 10:03:33,213;227;238;249;257;272;287;298;316;394;398
fg2,Female,1978,Japanese,Japanese,Japanese,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-05 13:06:33,2007-06-26 13:41:19,216;227;238;249;260
gg5,Male,1975,Mongol,Mongol,Mongol,English,3-5 years,0,Studied by myself,Russian,3-5 years,1,Studied grammar;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in italian;Studied pronunciation,Italian,less than 1 year,1,Studied grammar;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in italian;Teacher corrected my mistakes,2007-06-05 13:34:20,2007-06-26 13:36:43,213;227;238;249;257
bm3,Male,1984,Korean,Korean,Korean,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-05 14:03:42,2007-09-17 09:13:10,219;230;241;252;263;288;299
bz1,Male,1977,Chinese,English;Chinese;Taiwanese,Chinese;Taiwanese;English,Japanese,less than 1 year,0,Studied by myself,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,2007-06-05 14:05:02,2007-09-17 10:03:08,215;226;237;248;259;276;287;298;320
eu0,Male,1981,Thai,Thai,Thai,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Wrote paragrphs/essays,Chinese,3-5 years,1,Studied grammar;Studied vocabulary;Teacher spoke to me in Chinese;Studied pronunciation;Practiced reading aloud;Wrote paragrphs/essays,,,0,other,2007-06-05 14:05:03,2007-09-17 09:13:46,215;226;237;248;259;277;288;299;321
fy5,Female,1989,Korean,Korean,Korean,English,3-5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays,Japanese,less than 1 year,1,Studied grammar;Studied vocabulary,,,0,other,2007-06-05 14:05:46,2007-06-26 14:36:27,215;226;237;248;259
fx2,Male,1985,Turkish,Turkish,English;Turkish,English,less than 1 year,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-07 13:07:42,2008-01-29 15:02:56,213;224;235;246;257;269;285;296;307;318;338;341;342;349;350
fm2,Female,1984,Chinese,Chinese;Taiwanese,Chinese,Taiwanese,1-2 years,0,I learned from my friend who is a native speaker;I lived in a country where they spoke Taiwanese,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,2007-06-07 13:07:43,2007-09-17 11:08:31,213;224;235;246;257;274;285;296;318
fz5,Female,1981,Chinese,Chinese,Chinese;English,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-07 13:07:44,2007-06-28 13:09:18,216;227;235;246;260
ac5,Male,1986,Korean,Korean,English,English,more than 5 years,0,I learned from my friend who is a native speaker,,,0,other,,,0,other,2007-06-07 13:07:45,2008-01-29 15:02:55,216;227;235;246;260;277;288;295;321;348;349;350;351;352
be2,Male,1957,Korean,Korean,Korean;English,English,3-5 years,1,Studied grammar;Studied vocabulary;Teacher spoke to me in English,,,0,other,,,0,other,2007-06-07 13:07:47,2007-09-20 10:04:24,235;246;256;291;316
dc6,Female,1973,Spanish,Spanish,Spanish,English,less than 1 year,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes,,,0,other,,,0,other,2007-06-07 13:07:49,2007-09-18 09:08:43,216;227;235;246;260;277;288;295;321
dt4,Female,1980,Chinese,Chinese,Chinese,Chinese,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs),English,3-5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,2007-06-07 13:07:50,2007-09-18 10:05:22,213;224;235;246;257;272;283;294;316
ha6,Male,1982,Korean,Korean,English,English,3-5 years,1,Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-07 13:07:51,2007-09-18 09:08:16,213;224;235;246;257;273;284;295;317
fd8,Male,1989,Turkish,Turkish,Turkish,English,less than 1 year,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud,,,0,other,,,0,other,2007-06-07 13:08:02,2007-06-28 13:09:23,213;224;235;257
ep8,Male,1981,Spanish,Spanish;Portuguese,Spanish;Portuguese,Portuguese,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Portuguese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,English,less than 1 year,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,French,1-2 years,0,I learned from my friend who is a native speaker,2007-06-07 13:08:13,2007-06-28 13:10:42,235
dn6,Male,1954,Other,Telugu,Telugu,English,1-2 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-07 13:09:36,2007-06-28 13:11:21,213;224;235;246;257
fa2,Female,1983,Spanish,Spanish,English;Spanish,English,less than 1 year,1,Studied grammar;Had a native-speaker teacher;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,,,0,other,,,0,other,2007-06-07 14:06:52,2008-06-05 13:04:16,212;223;234;245;256;272;283;294;316;389;390;391;392;393
fl5,Male,1982,Korean,Korean,English,English,more than 5 years,1,Studied grammar;Studied vocabulary;Studied pronunciation;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-07 14:06:54,2007-09-17 11:08:12,212;223;234;245;256;274;285;296;318
bb5,Male,1982,Taiwanese,Chinese;Taiwanese,English;Taiwanese,Taiwanese,more than 5 years,0,I lived in a country where they spoke Taiwanese,English,1-2 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,2007-06-07 14:06:54,2007-06-28 14:08:44,212;223;234;245;256
gf7,Female,1986,Arabic,Arabic;English,Arabic;English,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-07 14:06:56,2007-09-18 09:08:25,212;223;234;245;256;273;284;295;317
ce7,Male,1980,Arabic,Arabic,English,English,more than 5 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-07 14:06:58,2008-09-26 10:09:22,212;223;234;256;269;280;294;313;367;369;373;375;376;430;431;438;439;447
cw2,Female,1983,Spanish,Spanish,Spanish;English,English,less than 1 year,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2007-06-07 14:07:00,2007-06-28 14:09:17,212;223;234;245;256
ft8,Male,1985,Japanese,Japanese,English,English,more than 5 years,1,Studied grammar,,,0,other,,,0,other,2007-06-07 14:07:00,2007-06-28 14:08:01,215;226;234;248;259
ae3,Female,1978,Taiwanese,Taiwanese,English,Taiwanese,more than 5 years,0,I lived in a country where they spoke Taiwanese,English,more than 5 years,1,Studied grammar;Studied vocabulary;Practiced reading aloud,,,0,other,2007-06-07 14:07:08,2007-09-17 11:08:44,212;223;234;245;256;274;285;296;318
bz5,Male,1974,Korean,Korean,Korean,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2007-06-07 14:07:11,2008-06-05 13:04:52,215;223;234;245;259;277;284;295;321;355;357;363;389;390;391;392;393
ft3,Female,1972,Korean,Korean,Korean;English,English,more than 5 years,1,Studied grammar;Studied vocabulary;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-07 14:20:13,2007-06-28 14:07:56,234
dy7,Female,1978,Korean,Korean,Korean,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,Japanese,1-2 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,,,0,other,2007-06-08 14:03:30,2007-09-17 10:03:16,217;230;239;250;261;276;298;320
dz9,Female,1977,Japanese,Japanese,Japanese,English,more than 5 years,1,Studied grammar;Studied vocabulary;Studied pronunciation;Teacher corrected my mistakes,,,0,other,,,0,other,2007-06-08 14:03:31,2007-09-17 10:03:31,217;228;239;250;261;277;287;298;320
cn9,Male,1967,Spanish,Spanish,Spanish;English,English,less than 1 year,1,Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes,,,0,other,,,0,other,2007-06-08 14:03:31,2007-06-29 14:06:55,217;228;239;250;261
de5,Male,1974,Turkish,Turkish,Turkish,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,German,3-5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in German;Teacher corrected my mistakes,,,0,other,2007-06-08 14:03:32,2007-06-29 14:07:49,217;230;239;261
ff2,Female,1988,Chinese,Chinese;English,Chinese;English,English,less than 1 year,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-08 14:03:33,2007-09-17 09:14:15,217;228;239;250;261;277;288;299;321
co2,Male,1979,Japanese,Japanese,Japanese,English,1-2 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-08 14:03:36,2007-09-17 09:13:05,217;230;239;250;263;277;288;299;321;363
cp8,Male,1979,Turkish,Turkish,Turkish,English,1-2 years,1,Studied grammar;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-06-08 14:04:07,2007-06-29 14:07:51,217;228;239;261
dg3,Male,1973,Japanese,Japanese,Japanese,English,more than 5 years,1,Studied grammar;Studied vocabulary,German,less than 1 year,1,Studied grammar,,,0,other,2007-06-08 14:04:15,2007-06-29 14:07:54,217;228;239;250;261
ai0,Male,1983,Korean,Korean;Arabic,Korean;English,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs),Japanese,less than 1 year,1,Studied grammar;Studied vocabulary,,,0,other,2007-06-14 13:46:48,2007-06-28 13:09:55,213;224;235;246;257
ae4,Male,1989,Spanish,Spanish,Spanish,English,3-5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes,,,0,other,,,0,other,2007-07-10 13:26:48,2007-07-10 13:29:46,216;227;235;246;260
ca3,Female,1968,Japanese,Japanese,Japanese,Chinese,1-2 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2007-09-17 09:11:40,2007-10-19 09:07:38,30;186;299;363
au2,Female,1987,Korean,Korean,Korean,Japanese,less than 1 year,1,Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,,,0,other,,,0,other,2007-09-17 09:11:40,2007-10-18 09:20:22,273;284;299;317
dz7,Female,1986,Korean,Korean,Korean,English,more than 5 years,0,other,,,0,other,,,0,other,2007-09-17 09:12:18,2008-01-29 14:11:43,277;288;299;321;355;363
eg8,Female,1964,Chinese,Chinese,Chinese,Japanese,less than 1 year,0,Studied by myself,,,0,other,,,0,other,2007-09-17 09:12:20,2007-11-05 09:49:30,277;288;299;321
gy6,Female,1981,Chinese,Chinese,Chinese,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes,,,0,other,,,0,other,2007-09-17 09:12:24,2007-10-18 09:28:22,277;288;299;363
bm7,Female,1975,Portuguese,Portuguese;Spanish;French,English;Spanish;Portuguese,French,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Teacher corrected my mistakes;Wrote paragrphs/essays,Spanish,3-5 years,0,Studied by myself;I learned from my friend who is a native speaker,,,0,other,2007-09-17 09:12:36,2008-01-29 15:03:27,277;288;299;321;338;339;342;350;351
ek8,Female,1972,Korean,Korean,Korean,Spanish,1-2 years,1,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud,,,0,other,,,0,other,2007-09-17 10:02:30,2007-11-05 10:40:17,298;353;363
gl9,Female,1974,Japanese,Japanese,Japanese,English,more than 5 years,1,Studied grammar;Studied vocabulary,French,less than 1 year,1,Studied grammar,,,0,other,2007-09-17 10:02:32,2007-10-18 10:22:41,276;287;298;357
dr9,Female,1973,Chinese,Chinese;Japanese,Chinese;English,,,,,,,,,,,,,2007-09-17 10:02:33,2007-09-17 10:03:52,298
fk3,Male,1972,Chinese,Chinese,Chinese,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2007-09-17 10:02:42,2007-10-18 10:24:18,287;298;320;356
dt3,Female,1963,Japanese,Japanese,Japanese,German,more than 5 years,0,I lived in a country where they spoke German,French,1-2 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,2007-09-17 11:07:25,2008-01-29 14:11:12,285;296;347;355;356;394;398
df9,Female,1979,Korean,Korean,Korean,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Studied pronunciation,,,0,other,,,0,other,2007-09-17 11:07:37,2008-01-29 15:03:20,283;296;350;352
